被光抓走的人	,剧情／喜剧／冒险	,2017-01-28	
阿凡达	,剧情／喜剧／冒险	,2017-01-28	
动物世界	,剧情／喜剧／冒险	,2017-01-28	
建国大业	,剧情／喜剧／冒险	,2017-01-28	
追梦险途	,剧情／喜剧／冒险	,2017-01-28	
上海堡垒	,剧情／喜剧／冒险	,2017-01-28	
寒战3	,剧情／喜剧／冒险	,2017-01-28	
哆啦A梦：大雄的新恐龙	,剧情／喜剧／冒险	,2017-01-28	
钢铁侠3	,剧情／喜剧／冒险	,2017-01-28	
万达，残暴的催眠师	,剧情／喜剧／冒险	,2017-01-28	
大约在冬季	,剧情／喜剧／冒险	,2017-01-28	
野性的呼唤	,剧情／喜剧／冒险	,2017-01-28	
金刚狼3：殊死一战	,剧情／喜剧／冒险	,2017-01-28	
小黄人大眼萌：神偷奶爸前传	,剧情／喜剧／冒险	,2017-01-28	
陀地驱魔人	,剧情／恐怖	,2015-11-22	
毒液：致命守护者	,剧情／恐怖	,2015-11-22	
小丑	,剧情／恐怖	,2015-11-22	
知晓天空之蓝的人啊	,剧情／恐怖	,2015-11-22	
变形金刚5：最后的骑士	,剧情／喜剧／冒险	,2017-01-28	
泰坦尼克号	,剧情／喜剧／冒险	,2017-01-28	
哪吒2	,剧情／喜剧／冒险	,2017-01-28	
真·三国无双	,剧情／喜剧／冒险	,2017-01-28	
海王	,剧情／喜剧／冒险	,2017-01-28	
美国队长3	,剧情／喜剧／冒险	,2017-01-28	
怦然心动	,剧情／喜剧／爱情	,2010-07-26	
速度与激情6	,剧情／喜剧／爱情	,2010-07-26	
惊奇队长	,剧情／喜剧／爱情	,2010-07-26	
鬼话怪谈·祥云寺	,剧情／喜剧／爱情	,2010-07-26	
白蛇：缘起	,剧情／恐怖	,2015-11-22	
战狼三级班	,剧情／恐怖	,2015-11-22	
美人鱼	,剧情／恐怖	,2015-11-22	
我非英雄	,剧情／恐怖	,2015-11-22	
